car_id,lane,change_in_velocity,initial_velocity,final_velocity,ahead_distance,label,time_to_destination
3,1,0.0,5.0,5.0,30,Maintain,0.016999999999999904
3,1,0.0,5.0,5.0,30,Maintain,0.03400000000000003
3,1,0.0,5.0,5.0,30,Maintain,0.050999999999999934
3,1,0.0,5.0,5.0,30,Maintain,0.06899999999999995
3,1,0.0,5.0,5.0,30,Maintain,0.08499999999999996
3,1,0.0,5.0,5.0,30,Maintain,0.10299999999999998
4,0,0.0,5.0,5.0,30,Maintain,0.018000000000000016
3,1,0.0,5.0,5.0,30,Maintain,0.119
4,0,0.0,5.0,5.0,30,Maintain,0.03400000000000003
3,1,0.0,5.0,5.0,30,Maintain,0.137
4,0,0.0,5.0,5.0,30,Maintain,0.052000000000000046
3,1,0.0,5.0,5.0,28,Maintain,0.15399999999999991
4,0,0.0,5.0,5.0,30,Maintain,0.06899999999999995
3,1,0.0,5.0,5.0,26,Maintain,0.16999999999999993
4,0,0.0,5.0,5.0,30,Maintain,0.08499999999999996
3,1,0.0,5.0,5.0,24,Maintain,0.18799999999999994
4,0,0.0,5.0,5.0,30,Maintain,0.10299999999999998
3,1,0.0,5.0,5.0,22,Maintain,0.20500000000000007
4,0,0.0,5.0,5.0,30,Maintain,0.1200000000000001
5,1,1.0968749999999998,5.0,3.903125,5,Slow down,0.017000000000000126
3,1,0.0,5.0,5.0,20,Maintain,0.22100000000000009
4,0,0.0,5.0,5.0,30,Maintain,0.13600000000000012
5,1,0.95648,3.903125,2.946645,6,Slow down,0.03300000000000014
3,1,0.005855000000000388,5.0,4.994145,19,Slow down,0.238
4,0,0.0,5.0,5.0,30,Maintain,0.15300000000000002
5,1,0.7084800000000002,2.946645,2.238165,8,Slow down,0.050000000000000044
3,1,0.02287999999999979,4.994145,4.971265,18,Slow down,0.256
4,0,0.0,5.0,5.0,30,Maintain,0.17100000000000004
5,1,0.4094549999999999,2.238165,1.82871,11,Slow down,0.06800000000000006
3,1,0.050354999999999706,4.971265,4.92091,17,Slow down,0.2729999999999999
4,0,0.0,5.0,5.0,30,Maintain,0.18799999999999994
5,1,0.19008000000000003,1.82871,1.63863,14,Slow down,0.08499999999999996
3,1,0.08767999999999976,4.92091,4.83323,16,Slow down,0.2889999999999999
4,0,0.0,5.0,5.0,30,Maintain,0.20399999999999996
5,1,0.05035499999999993,1.63863,1.588275,17,Slow down,0.10099999999999998
6,0,1.0968749999999998,5.0,3.903125,5,Slow down,0.016000000000000014
3,1,0.13437500000000036,4.83323,4.698855,15,Slow down,0.30600000000000005
4,0,0.0,5.0,5.0,30,Maintain,0.22100000000000009
5,1,0.0,1.588275,1.588275,20,Maintain,0.1180000000000001
6,0,0.95648,3.903125,2.946645,6,Slow down,0.03300000000000014
7,2,0.0,5.0,5.0,60,Maintain,0.017000000000000126
3,1,0.19008000000000003,4.698855,4.508775,14,Slow down,0.32400000000000007
4,0,0.0,5.0,5.0,30,Maintain,0.2390000000000001
5,1,0.0,1.588275,1.588275,23,Maintain,0.13600000000000012
6,0,0.7084800000000002,2.946645,2.238165,8,Slow down,0.051000000000000156
7,2,0.0,5.0,5.0,60,Maintain,0.03500000000000014
3,1,0.25455499999999986,4.508775,4.25422,13,Slow down,0.33899999999999997
4,0,0.0,5.0,5.0,30,Maintain,0.254
5,1,0.0,1.588275,1.588275,26,Maintain,0.15100000000000002
6,0,0.4094549999999999,2.238165,1.82871,11,Slow down,0.06600000000000006
7,2,0.0,5.0,5.0,60,Maintain,0.050000000000000044
3,1,0.25455499999999986,4.25422,3.9996650000000002,13,Slow down,0.3560000000000001
4,0,0.0,5.0,5.0,30,Maintain,0.27100000000000013
5,1,0.0,1.588275,1.588275,28,Maintain,0.16800000000000015
6,0,0.19008000000000003,1.82871,1.63863,14,Slow down,0.08300000000000018
7,2,0.0,5.0,5.0,60,Maintain,0.06700000000000017
3,1,0.25455499999999986,3.9996650000000002,3.7451100000000004,13,Slow down,0.373
